Horodateur,Quel est votre âge?,Quel est votre sexe?,Quel est votre niveau d'études ? ,Quelle description correspond le mieux à votre statut professionnel actuel ?,"Afin de rendre aléatoire l'étape suivante, veuillez choisir un numéro entre 1 et 4.","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?",Quel est votre intérêt pour le sport automobile ? ,Quelles sont vos connaissances en matière de sport automobile ? ,Avez-vous déjà assisté à un événement de sport automobile ? ,Possédez-vous une voiture?,"Si oui, quel type de voiture possédez-vous ? ","Lors de l'achat d'une voiture ou d'une pièce détachée, quelle importance accordez-vous au fait qu'elle soit équipée d'une technologie issue du sport automobile ou qu'elle ait un lien quelconque avec le sport automobile ? ",Avez-vous déjà acheté une voiture ou une pièce détachée d'une marque impliquée dans le sport automobile ?,"À votre avis, quelle est l'efficacité du sport automobile en tant qu'outil de marketing pour les constructeurs et manufacturiers automobiles ? ",Avez-vous déjà été incité à acheter une voiture ou une pièce détachée en raison de l'implication de la marque en sport automobile ? ,"Selon vous, dans quelle mesure le sport automobile a-t-il un impact global sur la technologie et l'innovation dans le domaine de l'automobile ? ",Pensez-vous que le sport automobile peut contribuer au développement de technologies automobiles plus durables et plus respectueuses de l'environnement ? ,Pourquoi?
10/05/2023 14:35:09,18-24,Femme,Bac +2,Étudiant,2,,Michelin Pilot Sport 5,,,Pas du tout intéressé,Pas du tout informé,Non,Non,,Moyennement important,Je ne sais pas,Très efficace,Non,Extrêmement d'impact,Je ne suis pas certain,Parce que le sport automobile n’a pas vocation à être respectueux de l’environnement je pense 
10/05/2023 14:48:03,25-34,Femme,Bac +5 (Master),Employé,3,,,Pirelli P Zero,,Moyennement intéressé,Moyennement informé,Oui,Oui,Berline,Moyennement important,Non,Moyennement efficace,Non,Moyennement d'impact,Oui,Il est justement très intéressant de tester de nouvelles technologies dans des conditions plus extrêmes. Qui peut le plus peut le moins! 
10/05/2023 15:21:31,18-24,Homme,Bac +3 (Licence / Bachelor),Étudiant,4,,,,Michelin Pilot Sport 5,Extrêmement intéressé,Extrêmement informé,Oui,Oui,Cabriolet ,Légèrement important,Oui,Extrêmement efficace,Oui,Extrêmement d'impact,Oui,Laboratoire technologique sans limite 
10/05/2023 15:42:23,18-24,Homme,Bac +5 (Master),Employé,2,,Michelin Pilot Sport 5,,,Moyennement intéressé,Légèrement informé,Non,Non,,Pas du tout important,Oui,Extrêmement efficace,Oui,Beaucoup d'impact,Oui,
10/05/2023 15:53:27,18-24,Femme,Bac +5 (Master),Étudiant,4,,,,Bridgestone Potenza Sport,Légèrement intéressé,Légèrement informé,Non,Oui,Compacte,Légèrement important,Non,Très efficace,Non,Beaucoup d'impact,Oui,"D'un point de vue novice, le secteur du sport automobile semble posséder le besoin rapide et les ressources financières pour développer de nouvelles technologies. Avec les demandes sociales actuelles, il ne fait aucun doute que les solutions innovantes soient durables et respectueuses de l'environnement. "
10/05/2023 16:17:55,25-34,Homme,Bac +5 (Master),Profession intermédiaire,1,Michelin Pilot Sport 5,,,,Très intéressé,Moyennement informé,Oui,Oui,Sportive,Moyennement important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,"La course à l’efficacité, productivité des moteurs, qualité des consommables (pneus et carburants), etc."
10/05/2023 16:41:25,45-54,Homme,Bac ou inférieur,Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Légèrement intéressé,Légèrement informé,Non,Oui,"Berline, Compacte",Pas du tout important,Oui,Moyennement efficace,Non,Extrêmement d'impact,Oui,
10/05/2023 17:10:17,35-44,Homme,Bac +5 (Master),Cadre dirigeant,4,,,,Michelin Pilot Sport 5,Légèrement intéressé,Légèrement informé,Oui,Oui,"SUV, Sportive",Légèrement important,Oui,Légèrement efficace,Non,Extrêmement d'impact,Oui,
10/05/2023 18:17:50,18-24,Homme,Bac +5 (Master),Cadre,1,Continental Sport Contact 7,,,,Très intéressé,Très informé,Oui,Non,,Légèrement important,Non,Très efficace,Oui,Extrêmement d'impact,Oui,
10/05/2023 20:15:45,45-54,Homme,Bac +8 (Doctorat),Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Très intéressé,Très informé,Oui,Oui,"SUV, Sportive",Très important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,développement de nouvelles innovations sur les moteurs par ex
10/05/2023 20:29:58,18-24,Femme,Bac +2,Étudiant,3,,,Bridgestone Potenza Sport,,Moyennement intéressé,Moyennement informé,Oui,Non,,Pas du tout important,Non,Moyennement efficace,Non,Beaucoup d'impact,Oui,
10/05/2023 20:34:05,18-24,Femme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Très intéressé,Très informé,Non,Oui,Berline,Pas du tout important,Oui,Moyennement efficace,Non,Beaucoup d'impact,Non,le sport automobile est certes divertissant mais tous sauf respectueux de l’environnement 
10/05/2023 20:36:47,18-24,Femme,Bac +2,Étudiant,3,,,Continental Sport Contact 7,,Légèrement intéressé,Pas du tout informé,Non,Non,,Pas du tout important,Non,Moyennement efficace,Non,Moyennement d'impact,Je ne suis pas certain,
10/05/2023 20:47:34,18-24,Homme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Légèrement informé,Oui,Non,,Pas du tout important,Non,Très efficace,Non,Moyennement d'impact,Oui,Oui car la recherche de performance peut amener à un meilleur rendement donc baisse de la consomation de carburant
10/05/2023 22:32:17,18-24,Femme,Bac +2,Étudiant,3,,,Michelin Pilot Sport 5,,Pas du tout intéressé,Pas du tout informé,Non,Non,,Pas du tout important,Non,Moyennement efficace,Non,Moyennement d'impact,Je ne suis pas certain,
11/05/2023 06:09:43,18-24,Homme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Légèrement informé,Non,Oui,Compacte,Légèrement important,Non,Très efficace,Non,Extrêmement d'impact,Oui,"Réglementations championnats qui poussent dans cette direction, amélioration continue de l’efficience des voitures, et puis surtout People Profit Planet"
11/05/2023 07:27:46,55-64,Homme,Bac +2,Employé,2,,Continental Sport Contact 7,,,Très intéressé,Très informé,Oui,Oui,Compacte,Moyennement important,Oui,Moyennement efficace,Non,Beaucoup d'impact,Je ne suis pas certain,
11/05/2023 08:39:56,45-54,Homme,Bac +5 (Master),Profession intermédiaire,4,,,,Michelin Pilot Sport 5,Extrêmement intéressé,Très informé,Oui,Oui,"SUV, Compacte",Moyennement important,Oui,Moyennement efficace,Oui,Beaucoup d'impact,Oui,Labo d'expérimentation
11/05/2023 09:32:57,35-44,Femme,Bac +5 (Master),Profession intermédiaire,1,Pirelli P Zero,,,,Pas du tout intéressé,Pas du tout informé,Non,Oui,Berline,Pas du tout important,Non,Légèrement efficace,Non,Moyennement d'impact,Je ne suis pas certain,"les objectifs du sport automobile ne sont pas ceux de la durabilité, ni l'image inspirationnelle véhiculée: vitesse, accélérations, sensations de conduite... vs. réduction de vitesse pour optimiser l'énergie (fuel ou batterie), réduction du bruit, mobilité fonctionnelle et partagée. "
11/05/2023 09:59:59,18-24,Femme,Bac +5 (Master),Étudiant,4,,,,Michelin Pilot Sport 5,Moyennement intéressé,Pas du tout informé,Non,Oui,Sportive,Très important,Non,Très efficace,Non,Beaucoup d'impact,Je ne suis pas certain,
11/05/2023 14:28:42,35-44,Homme,Bac +5 (Master),Cadre dirigeant,1,Michelin Pilot Sport 5,,,,Moyennement intéressé,Moyennement informé,Non,Oui,SUV,Moyennement important,Oui,Très efficace,Non,Beaucoup d'impact,Oui,Technologie de pointe et performance prennent en compte les contraintes ecologiques nouvelles
11/05/2023 15:30:41,25-34,Homme,Bac +5 (Master),Cadre dirigeant,3,,,Pirelli P Zero,,Moyennement intéressé,Moyennement informé,Oui,Oui,SUV,Pas du tout important,Non,Légèrement efficace,Non,Beaucoup d'impact,Oui,
11/05/2023 16:52:12,18-24,Homme,Bac +5 (Master),Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Moyennement intéressé,Légèrement informé,Oui,Oui,Compacte,Légèrement important,Oui,Extrêmement efficace,Oui,Extrêmement d'impact,Oui,"Les fédérations de sport automobile deviennent de plus en plus exigeantes en terme de respect des normes environnementales. Les règles de jeux changent, poussant les constructeurs à s’adapter. La performance peut aussi être un motif, les nouvelles technologies pouvant être eco-responsable mais aussi plus performantes (ex: moteurs électriques)"
11/05/2023 19:35:14,25-34,Homme,Bac +5 (Master),Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Extrêmement intéressé,Très informé,Oui,Oui,Sportive,Très important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,
12/05/2023 07:47:00,18-24,Homme,Bac +5 (Master),Étudiant,4,,,,Pirelli P Zero,Légèrement intéressé,Pas du tout informé,Non,Non,,Légèrement important,Non,Très efficace,Oui,Beaucoup d'impact,Oui,
12/05/2023 09:57:16,18-24,Homme,Bac +5 (Master),Étudiant,2,,Michelin Pilot Sport 5,,,Extrêmement intéressé,Très informé,Non,Non,,Moyennement important,Oui,Extrêmement efficace,Oui,Extrêmement d'impact,Oui,"- Les voitures de course peuvent être alimentées par des carburants alternatifs (le bioéthanol, le gaz naturel et l'électricité) qui ont des émissions moins nocives pour l'environnement que les carburants traditionnels
- Les exigences de performance dans les courses automobiles obligent les ingénieurs à concevoir des systèmes plus légers, plus aérodynamiques et plus efficaces. Ces avancées technologiques peuvent ensuite être appliquées à la production de voitures de série
- Les courses automobiles ont une grande visibilité et une audience importante, ce qui peut aider à sensibiliser le public aux avantages des technologies durables."
12/05/2023 15:18:17,25-34,Homme,Bac +5 (Master),Étudiant,1,Michelin Pilot Sport 5,,,,Extrêmement intéressé,Très informé,Non,Oui,Compacte,Moyennement important,Non,Extrêmement efficace,Non,Moyennement d'impact,Oui,Je pense qu'il existe déjà des compétition de sport automobile pour des voitures 100% électrique.
12/05/2023 15:18:53,18-24,Homme,Bac +5 (Master),Étudiant,2,,Continental Sport Contact 7,,,Moyennement intéressé,Moyennement informé,Non,Oui,Berline,Légèrement important,Non,Moyennement efficace,Non,Beaucoup d'impact,Je ne suis pas certain,Dur d’aller toujours plus vite sans polluer 
12/05/2023 15:30:00,18-24,Homme,Bac +5 (Master),Étudiant,2,,Continental Sport Contact 7,,,Moyennement intéressé,Légèrement informé,Oui,Oui,Citadine,Pas du tout important,Oui,Très efficace,Non,Moyennement d'impact,Oui,
12/05/2023 15:33:27,18-24,Femme,Bac +5 (Master),Étudiant,4,,,,Michelin Pilot Sport 5,Légèrement intéressé,Pas du tout informé,Non,Oui,,Pas du tout important,Je ne sais pas,Très efficace,Non,Beaucoup d'impact,Oui,Secteur porteur d’innovation 
12/05/2023 15:37:52,25-34,Homme,Bac +5 (Master),Employé,2,,Michelin Pilot Sport 5,,,Pas du tout intéressé,Pas du tout informé,Non,Oui,Ludospace,Moyennement important,Oui,Très efficace,Non,Moyennement d'impact,Oui,Pousser la recherche vers une mobilité durable ? 
12/05/2023 15:42:38,18-24,Femme,Bac +5 (Master),Étudiant,4,,,,Continental Sport Contact 7,Légèrement intéressé,Légèrement informé,Non,Oui,Berline,Pas du tout important,Non,Moyennement efficace,Non,Beaucoup d'impact,Non,
12/05/2023 16:56:16,18-24,Femme,Bac +5 (Master),Employé,1,Michelin Pilot Sport 5,,,,Pas du tout intéressé,Légèrement informé,Non,Oui,Berline,Pas du tout important,Je ne sais pas,Très efficace,Non,Beaucoup d'impact,Oui,"Les moyens financiers générés par le sport automobile sont immenses, ils peuvent investir plus facilement en R&D"
12/05/2023 17:20:43,35-44,Homme,Bac +3 (Licence / Bachelor),Profession intermédiaire,1,Pirelli P Zero,,,,Pas du tout intéressé,Légèrement informé,Non,Oui,Compacte,Pas du tout important,Oui,Légèrement efficace,Oui,Beaucoup d'impact,Je ne suis pas certain,
12/05/2023 18:14:49,18-24,Homme,Bac +5 (Master),Étudiant,2,,Pirelli P Zero,,,Légèrement intéressé,Légèrement informé,Non,Oui,Berline,Pas du tout important,Je ne sais pas,Très efficace,Non,Beaucoup d'impact,Oui,Car l'innovation va beaucoup dans ce sens et les performances vont souvent dans le sens de l'économie 
12/05/2023 21:50:22,45-54,Homme,Bac +3 (Licence / Bachelor),Employé,1,Continental Sport Contact 7,,,,Très intéressé,Moyennement informé,Oui,Non,"SUV, Compacte, Sportive",Très important,Oui,Très efficace,Oui,Moyennement d'impact,Oui,
13/05/2023 21:17:02,35-44,Homme,Bac +2,Profession intermédiaire,4,,,,Michelin Pilot Sport 5,Très intéressé,Moyennement informé,Oui,Oui,"SUV, Compacte",Légèrement important,Oui,Moyennement efficace,Oui,Extrêmement d'impact,Oui,La concurrence dans le sport automobile impose aux constructeurs d'innover continuellement. Certaines de ces innovations (en fomule E par exemple) sont bénéfiques pour les véhicules de séries. (Vu il y a quelques années en rallye chez subaru et audi par exemple avec des systèmes 4 roues motrices inédits pour l'époque qui sont aujourd'hui de série chez ces cons)
16/05/2023 22:31:20,35-44,Homme,Bac ou inférieur,Employé,3,,,Continental Sport Contact 7,,Très intéressé,Moyennement informé,Oui,Oui,Cabriolet,Pas du tout important,Oui,Très efficace,Non,Extrêmement d'impact,Oui,
17/05/2023 16:53:41,18-24,Homme,Bac +5 (Master),Étudiant,1,Michelin Pilot Sport 5,,,,Légèrement intéressé,Moyennement informé,Oui,Oui,Berline,Pas du tout important,Non,Légèrement efficace,Non,Beaucoup d'impact,Oui,pousse au développement constant de l'automobile pour arrivé dans des retranchements 
20/05/2023 10:15:24,45-54,Femme,Bac +2,Fonction publique ,4,,,,Michelin Pilot Sport 5,Légèrement intéressé,Légèrement informé,Non,Oui,Monospace ,Pas du tout important,Oui,Moyennement efficace,Non,Beaucoup d'impact,Oui,Plus durable car les automobiles sportives sont plus sollicités mécaniquement.
25/05/2023 12:17:48,18-24,Femme,Bac +5 (Master),Étudiant,2,,Continental Sport Contact 7,,,Moyennement intéressé,Moyennement informé,Oui,Oui,Compacte,Très important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,"Les tests du sport automobile permettent de découvrir les performances des véhicules dans plusieurs conditions, ce qui permets de déceler les points d’améliorations et ceux à conserver. "
25/05/2023 12:54:11,25-34,Homme,Bac ou inférieur,"Artisan, petit commerçant ou chef d'entreprise de moins de 10 salariés",4,,,,Michelin Pilot Sport 5,Légèrement intéressé,Légèrement informé,Non,Oui,Compacte,Très important,Oui,Extrêmement efficace,Oui,Moyennement d'impact,Oui,Les pièces et matériaux sont testés dans des conditions extrêmes permettant d’accentuer l’usure très rapide avec l’utilisation. Donc la durée de vie pourra certainement être mesurée grâce à cela 
25/05/2023 12:59:11,45-54,Homme,Bac ou inférieur,Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Moyennement intéressé,Moyennement informé,Non,Oui,SUV,Pas du tout important,Je ne sais pas,Moyennement efficace,Non,Beaucoup d'impact,Non,Le but du sport auto est d’avoir des performances sans s’occuper de la partie écologique 
25/05/2023 13:03:21,18-24,Femme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Moyennement informé,Non,Oui,Berline,Pas du tout important,Je ne sais pas,Très efficace,Non,Extrêmement d'impact,Oui,"Oui par exemple la course auto électrique mais qui est moins suivis, sinon des efforts sont faits mais cela reste un sport polluant "
25/05/2023 13:13:23,55-64,Homme,Bac ou inférieur,"Artisan, petit commerçant ou chef d'entreprise de moins de 10 salariés",4,,,,Continental Sport Contact 7,Légèrement intéressé,Pas du tout informé,Oui,Oui,SUV,Légèrement important,Non,Très efficace,Non,Beaucoup d'impact,Oui,Les essais montreront si ces pièces auront une longue vie ou non 
25/05/2023 13:30:14,25-34,Femme,Bac +5 (Master),Étudiant,2,,Pirelli P Zero,,,Pas du tout intéressé,Pas du tout informé,Non,Oui,Compacte,Pas du tout important,Je ne sais pas,Moyennement efficace,Non,Moyennement d'impact,Je ne suis pas certain,
25/05/2023 14:27:19,18-24,Femme,Bac +5 (Master),Étudiant,2,,Pirelli P Zero,,,Très intéressé,Très informé,Oui,Non,,Moyennement important,Non,Très efficace,Oui,Beaucoup d'impact,Je ne suis pas certain,
25/05/2023 14:51:04,45-54,Homme,Bac +2,Profession intermédiaire,4,,,,Michelin Pilot Sport 5,Moyennement intéressé,Moyennement informé,Oui,Oui,Utilitaire,Pas du tout important,Non,Moyennement efficace,Non,Moyennement d'impact,Non,
25/05/2023 15:27:35,18-24,Femme,Bac +5 (Master),Étudiant,1,Michelin Pilot Sport 5,,,,Moyennement intéressé,Très informé,Non,Non,,Pas du tout important,Non,Moyennement efficace,Non,Beaucoup d'impact,Non,il n’y a pas plus polluant que le sport automobile 
25/05/2023 17:12:12,65 ans et plus,Homme,Bac ou inférieur,Retraité,2,,Continental Sport Contact 7,,,Très intéressé,Très informé,Oui,Oui,Berline,Moyennement important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,Car depuis toujours le Sport automobile a permis des developpements et innovations techniques importants.
25/05/2023 17:13:26,25-34,Homme,Bac +5 (Master),Employé,4,,,,Michelin Pilot Sport 5,Pas du tout intéressé,Pas du tout informé,Non,Oui,Compacte,Légèrement important,Oui,Moyennement efficace,Non,Moyennement d'impact,Oui,"e fromule 1 , materiaux durables…"
25/05/2023 20:54:38,18-24,Femme,Bac +5 (Master),Étudiant,1,Continental Sport Contact 7,,,,Extrêmement intéressé,Très informé,Oui,Oui,Berline,Moyennement important,Non,Extrêmement efficace,Oui,Extrêmement d'impact,Oui,Le sport auto produit de petite quantité de volume et les voitures sont souvent testés dans des conditions plus extrêmes ce qui peut permettre aux constructeurs d’expérimenter de nouveaux produits 
26/05/2023 08:24:35,25-34,Homme,Bac +2,Employé,4,,,,Pirelli P Zero,Très intéressé,Très informé,Oui,Oui,Compacte,Moyennement important,Je ne sais pas,Moyennement efficace,Non,Beaucoup d'impact,Oui,Pneu plus durable / moteur plus petit mais avec autant de puissance...
26/05/2023 09:24:13,18-24,Femme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Moyennement intéressé,Légèrement informé,Oui,Oui,Compacte,Pas du tout important,Non,Légèrement efficace,Non,Extrêmement d'impact,Oui,
26/05/2023 13:09:53,18-24,Femme,Bac +8 (Doctorat),Étudiant,2,,Continental Sport Contact 7,,,Légèrement intéressé,Pas du tout informé,Non,Oui,SUV,Pas du tout important,Non,Très efficace,Non,Beaucoup d'impact,Oui,
26/05/2023 17:00:22,25-34,Homme,Bac +5 (Master),Non actif ,3,,,Michelin Pilot Sport 5,,Très intéressé,Très informé,Oui,Oui,"Berline, SUV",Pas du tout important,Oui,Moyennement efficace,Non,Beaucoup d'impact,Oui,Si par exemple des essences plus naturelles peuvent marcher sur des moteurs a la pointe de la technologie cela peut être aussi utilisé au quotidien 
26/05/2023 21:12:42,25-34,Homme,Bac +2,Ouvrier,1,Michelin Pilot Sport 5,,,,Extrêmement intéressé,Extrêmement informé,Oui,Oui,Berline,Très important,Oui,Très efficace,Non,Extrêmement d'impact,Oui,Je prend l’exemple des 24H du Mans Prieuré compétition mondiale à introduire l’hybride 
29/05/2023 11:15:47,55-64,Homme,Bac ou inférieur,fonction publique ,4,,,,Bridgestone Potenza Sport,Très intéressé,Moyennement informé,Oui,Oui,"Compacte, Sportive",Moyennement important,Oui,Moyennement efficace,Non,Moyennement d'impact,Oui,À des fins de survie (du constructeur).
29/05/2023 11:38:48,55-64,Homme,Bac +3 (Licence / Bachelor),Retraité,2,,Michelin Pilot Sport 5,,,Très intéressé,Très informé,Oui,Oui,"SUV, Compacte, Sportive, Méhari ",Moyennement important,Oui,Très efficace,Oui,Extrêmement d'impact,Oui,Ces technologies seront misent en place sur les véhicules de séries 
29/05/2023 12:11:44,18-24,Femme,Bac +5 (Master),Étudiant,1,Continental Sport Contact 7,,,,Pas du tout intéressé,Pas du tout informé,Non,Non,,Pas du tout important,Non,Légèrement efficace,Non,Moyennement d'impact,Non,"La recherche dans le domaine du sport automobile a pour but de rendre les voitures les plus performantes possible, un objectif qui ne s’aligne pas avec la durabilité et le respect de l’environnement dans la plupart des cas (Tout comme la quantité énorme de carburants consommée par ces voitures) "
29/05/2023 17:35:24,18-24,Femme,Bac +5 (Master),"Artisan, petit commerçant ou chef d'entreprise de moins de 10 salariés",2,,Michelin Pilot Sport 5,,,Moyennement intéressé,Légèrement informé,Oui,Oui,Compacte,Moyennement important,Oui,Extrêmement efficace,Oui,Extrêmement d'impact,Oui,Ils sont plus avancé et ont plus de moyens pour développer des choses
29/05/2023 17:38:40,18-24,Homme,Bac ou inférieur,Ouvrier,4,,,,Michelin Pilot Sport 5,Extrêmement intéressé,Extrêmement informé,Oui,Oui,Break,Moyennement important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,"Oui, pour la performance. "
29/05/2023 20:41:33,18-24,Homme,Bac +5 (Master),Employé,2,,Michelin Pilot Sport 5,,,Moyennement intéressé,Légèrement informé,Non,Non,,Pas du tout important,Non,Très efficace,Non,Pas du tout d'impact,Non,
30/05/2023 08:58:19,45-54,Homme,Bac +3 (Licence / Bachelor),Cadre supérieur ,3,,,Pirelli P Zero,,Légèrement intéressé,Légèrement informé,Oui,Oui,Berline,Légèrement important,Oui,Moyennement efficace,Non,Beaucoup d'impact,Non,La recherche de performance pure s'oppose le plus souvent à la performance environnementale.
30/05/2023 09:05:23,55-64,Homme,Bac ou inférieur,Employé,4,,,,Michelin Pilot Sport 5,Très intéressé,Moyennement informé,Oui,Oui,SUV,Pas du tout important,Oui,Très efficace,Non,Extrêmement d'impact,Oui,Les sports automobiles sont des tests grandeur nature pour toute innovation
30/05/2023 11:21:11,45-54,Femme,Bac +3 (Licence / Bachelor),Mère au foyer,4,,,,Pirelli P Zero,Pas du tout intéressé,Pas du tout informé,Non,Oui,Compacte,Pas du tout important,Je ne sais pas,Très efficace,Non,Beaucoup d'impact,Je ne suis pas certain,Sport et durabilité vont rarement ensemble
30/05/2023 13:46:49,45-54,Femme,Bac ou inférieur,Employé,4,,,,Michelin Pilot Sport 5,Très intéressé,Moyennement informé,Oui,Oui,Berline,Pas du tout important,Je ne sais pas,Légèrement efficace,Non,Beaucoup d'impact,Oui,
30/05/2023 13:53:14,45-54,Femme,Bac ou inférieur,Atsem ,1,Pirelli P Zero,,,,Pas du tout intéressé,Pas du tout informé,Non,Oui,Compacte,Pas du tout important,Non,Très efficace,Non,Moyennement d'impact,Je ne suis pas certain,
